Code,Barcode,Description,Description_CSD,Unit,CP,CPU,TP_Captains,TP_Coopers,TP_Shumis,TP_Genius,TP_Overseas,TP_Iferi,MRP,Stock
B-158,OT74981599N,CLOTH CLIP,CLOTH CLIP-T & Z-1*16 CLOTH CLIP (B-158),Pc(s),52,98,,,,,,,0,410
B-219,OT74981617N,MINI COTTON BUDS,COTTON BUDS-T & Z-1*20 COTTON BUDS (B-219),Pc(s),10,20,,,,,,,0,1500
B-45,OT74981548N,CLOTH CLIP,CLOTH CLIP - T & Z-20 PCS CLOTH CLIP (B-045),Pc(s),54,115,,,,,,,0,355
B-52,OT74981552N,DISH SPONGE,DISH SPONGE-T & Z-4 PCS DISH SPONGE (B-052),Pc(s),33,60,,,,,,,0,900
B-96,OT74981573N,CLOTH CLIP,CLOTH CLIP-T & Z-24 PCS CLOTH CLIP (B-096),Pc(s),56,120,,,,,,,0,380
H -005,,SPARKLING CANDLE,,Pkt,83,0,,,102,,,,180,39
H -015,,SNOW SPRAY,,Pc(s),32,0,,,42,,,,80,106
H -016,,PARTY POPPER 30 CM,,Pc(s),45,0,,,78,,,,150,28
